,file,dsize,valid,acc,error_rate,bacc,prec,recall,f1
0,tabllm-bank-cv0-e128-s16-mistral-7b,1000,0.987,0.8419452887537994,0.15805471124620063,0.6128354567633505,0.3333333333333333,0.31092436974789917,0.3217391304347826
1,tabllm-bank-cv1-e128-s16-mistral-7b,1000,0.992,0.8336693548387096,0.16633064516129037,0.5598549086112681,0.26373626373626374,0.19672131147540983,0.22535211267605634
2,tabllm-bank-cv2-e128-s16-mistral-7b,1000,0.992,0.8528225806451613,0.14717741935483875,0.554938593531102,0.2602739726027397,0.17117117117117117,0.20652173913043478
3,tabllm-bank-cv3-e128-s16-mistral-7b,1000,0.971,0.8280123583934088,0.1719876416065912,0.5755491412311409,0.25688073394495414,0.24561403508771928,0.25112107623318386
4,tabllm-bank-cv4-e128-s16-mistral-7b,1000,0.995,0.8331658291457287,0.16683417085427132,0.5446094491290259,0.2597402597402597,0.15503875968992248,0.1941747572815534
5,tabllm-blood-cv0-e128-s16-mistral-7b,149,1.0,0.4563758389261745,0.5436241610738255,0.5970886752136753,0.2621359223300971,0.84375,0.4
6,tabllm-blood-cv1-e128-s16-mistral-7b,150,1.0,0.46,0.54,0.5769230769230769,0.3018867924528302,0.8205128205128205,0.4413793103448276
7,tabllm-blood-cv2-e128-s16-mistral-7b,149,0.9932885906040269,0.5135135135135135,0.4864864864864865,0.6119711042311662,0.29347826086956524,0.7941176470588235,0.42857142857142855
8,tabllm-blood-cv3-e128-s16-mistral-7b,150,1.0,0.4,0.6,0.49603174603174605,0.2777777777777778,0.7142857142857143,0.4
9,tabllm-blood-cv4-e128-s16-mistral-7b,150,1.0,0.38,0.62,0.5257522363784224,0.21818181818181817,0.7741935483870968,0.3404255319148936
10,tabllm-calhousing-cv0-e128-s16-mistral-7b,1000,0.999,0.5375375375375375,0.4624624624624625,0.553739161849711,0.5098684210526315,0.96875,0.6681034482758621
11,tabllm-calhousing-cv1-e128-s16-mistral-7b,1000,0.999,0.6146146146146146,0.38538538538538536,0.6137063222951686,0.5723192019950125,0.9161676646706587,0.7045280122793554
12,tabllm-calhousing-cv2-e128-s16-mistral-7b,1000,0.998,0.6382765531062125,0.36172344689378755,0.6284578146611342,0.5979772439949431,0.9166666666666666,0.7237949502677888
13,tabllm-calhousing-cv3-e128-s16-mistral-7b,1000,1.0,0.589,0.41100000000000003,0.5962185697877773,0.5472154963680388,0.9243353783231084,0.6874524714828897
14,tabllm-calhousing-cv4-e128-s16-mistral-7b,1000,1.0,0.613,0.387,0.611348008528307,0.5747422680412371,0.8866799204771372,0.6974198592650508
15,tabllm-car-cv0-e128-s16-mistral-7b,345,1.0,0.7014492753623188,0.2985507246376812,0.4661666355605325,0.548771953088166,0.4661666355605325,0.4878632620656549
16,tabllm-creditg-cv0-e128-s16-mistral-7b,200,1.0,0.62,0.38,0.4712250712250712,0.6612021857923497,0.8962962962962963,0.7610062893081762
17,tabllm-creditg-cv1-e128-s16-mistral-7b,200,1.0,0.665,0.33499999999999996,0.5074065761418471,0.6683673469387755,0.9849624060150376,0.7963525835866262
18,tabllm-creditg-cv2-e128-s16-mistral-7b,200,1.0,0.71,0.29000000000000004,0.5070543491596123,0.717948717948718,0.9790209790209791,0.8284023668639053
19,tabllm-creditg-cv3-e128-s16-mistral-7b,200,1.0,0.67,0.32999999999999996,0.48201438848920863,0.6871794871794872,0.9640287769784173,0.8023952095808383
20,tabllm-creditg-cv4-e128-s16-mistral-7b,200,1.0,0.71,0.29000000000000004,0.48,0.7421052631578947,0.94,0.8294117647058824
21,tabllm-diabetes-cv0-e128-s16-mistral-7b,153,1.0,0.5816993464052288,0.4183006535947712,0.6495361781076067,0.45794392523364486,0.8909090909090909,0.6049382716049383
22,tabllm-diabetes-cv1-e128-s16-mistral-7b,154,0.9935064935064936,0.5947712418300654,0.40522875816993464,0.6527184466019418,0.43617021276595747,0.82,0.5694444444444444
23,tabllm-diabetes-cv2-e128-s16-mistral-7b,153,1.0,0.5228758169934641,0.4771241830065359,0.6378964271376957,0.38596491228070173,0.9361702127659575,0.546583850931677
24,tabllm-diabetes-cv3-e128-s16-mistral-7b,154,0.9935064935064936,0.5882352941176471,0.4117647058823529,0.6761320754716982,0.45535714285714285,0.9622641509433962,0.6181818181818182
25,tabllm-diabetes-cv4-e128-s16-mistral-7b,154,1.0,0.512987012987013,0.487012987012987,0.5544685351665786,0.4339622641509434,0.7540983606557377,0.5508982035928144
26,tabllm-heart-cv0-e128-s16-mistral-7b,183,1.0,0.6338797814207651,0.36612021857923494,0.5798148148148148,0.6375838926174496,0.8796296296296297,0.7392996108949417
27,tabllm-heart-cv1-e128-s16-mistral-7b,184,0.9945652173913043,0.6010928961748634,0.3989071038251366,0.5435897435897437,0.5975609756097561,0.9333333333333333,0.7286245353159851
28,tabllm-heart-cv2-e128-s16-mistral-7b,183,1.0,0.5846994535519126,0.41530054644808745,0.5524096385542169,0.5769230769230769,0.9,0.703125
29,tabllm-heart-cv3-e128-s16-mistral-7b,184,1.0,0.6032608695652174,0.3967391304347826,0.5953900709219858,0.5660377358490566,0.9574468085106383,0.7114624505928854
30,tabllm-heart-cv4-e128-s16-mistral-7b,184,1.0,0.6467391304347826,0.3532608695652174,0.6207142857142858,0.6174496644295302,0.92,0.7389558232931727
31,tabllm-income-cv0-e128-s16-mistral-7b,1000,0.991,0.7447023208879919,0.25529767911200807,0.7164263094594445,0.48338368580060426,0.6611570247933884,0.5584642233856894
32,tabllm-income-cv1-e128-s16-mistral-7b,1000,0.993,0.743202416918429,0.25679758308157097,0.731000823238857,0.4495677233429395,0.7090909090909091,0.5502645502645502
33,tabllm-income-cv2-e128-s16-mistral-7b,1000,0.987,0.7304964539007093,0.2695035460992907,0.719154733799616,0.4696132596685083,0.6967213114754098,0.5610561056105611
34,tabllm-income-cv3-e128-s16-mistral-7b,1000,0.994,0.7595573440643864,0.24044265593561365,0.747014029322548,0.5269121813031161,0.7209302325581395,0.6088379705400983
35,tabllm-income-cv4-e128-s16-mistral-7b,1000,0.99,0.7383838383838384,0.26161616161616164,0.7341543840365761,0.45,0.726457399103139,0.5557461406518011
36,tabllm-jungle-cv0-e128-s16-mistral-7b,1000,0.998,0.5811623246492986,0.4188376753507014,0.5814738955823293,0.5611620795107034,0.7369477911646586,0.6371527777777778
37,tabllm-jungle-cv1-e128-s16-mistral-7b,1000,0.997,0.5867602808425276,0.4132397191574724,0.5894137961569114,0.5586924219910847,0.7657841140529531,0.6460481099656358
38,tabllm-jungle-cv2-e128-s16-mistral-7b,1000,0.998,0.6212424849699398,0.37875751503006017,0.6167799177841089,0.5967976710334789,0.8023483365949119,0.6844741235392321
39,tabllm-jungle-cv3-e128-s16-mistral-7b,1000,0.999,0.6006006006006006,0.3993993993993994,0.5987610761396898,0.5919732441471572,0.6954813359528488,0.6395663956639567
40,tabllm-jungle-cv4-e128-s16-mistral-7b,1000,0.998,0.6162324649298597,0.3837675350701403,0.6157065287238144,0.6013628620102215,0.703187250996016,0.6483011937557392
