,file,dsize,valid,acc,error_rate,bacc,prec,recall,f1
11,ourscocktail-calhousing-cv1-e128-s16-mistral-7b,1000,0.999,0.6056056056056056,0.3943943943943944,0.6052665330661322,0.5632458233890215,0.944,0.7055306427503737
12,ourscocktail-calhousing-cv2-e128-s16-mistral-7b,1000,1.0,0.614,0.386,0.6093176757077172,0.6041009463722398,0.7393822393822393,0.6649305555555556
13,ourscocktail-calhousing-cv3-e128-s16-mistral-7b,1000,0.999,0.5465465465465466,0.45345345345345345,0.5547455792132804,0.5202702702702703,0.9447852760736196,0.6710239651416122
14,ourscocktail-calhousing-cv4-e128-s16-mistral-7b,1000,0.998,0.5961923847695391,0.40380761523046094,0.5941355545559697,0.558858501783591,0.9362549800796812,0.6999255398361877
15,ourscocktail-creditg-cv0-e128-s16-mistral-7b,200,1.0,0.635,0.365,0.5022792022792023,0.6761363636363636,0.8814814814814815,0.7652733118971061
16,ourscocktail-creditg-cv1-e128-s16-mistral-7b,200,1.0,0.585,0.41500000000000004,0.4472562002019975,0.6388888888888888,0.8646616541353384,0.7348242811501597
17,ourscocktail-creditg-cv2-e128-s16-mistral-7b,200,1.0,0.635,0.365,0.4862593546804073,0.7083333333333334,0.8321678321678322,0.7652733118971061
18,ourscocktail-creditg-cv3-e128-s16-mistral-7b,200,1.0,0.675,0.32499999999999996,0.49021110980068405,0.6907216494845361,0.9640287769784173,0.8048048048048048
19,ourscocktail-creditg-cv4-e128-s16-mistral-7b,200,1.0,0.64,0.36,0.4866666666666667,0.74375,0.7933333333333333,0.7677419354838709
20,ourscocktail-diabetes-cv0-e128-s16-mistral-7b,153,0.9869281045751634,0.5695364238410596,0.4304635761589404,0.6420454545454546,0.45454545454545453,0.9090909090909091,0.6060606060606061
21,ourscocktail-diabetes-cv1-e128-s16-mistral-7b,154,1.0,0.6948051948051948,0.30519480519480524,0.7124500285551114,0.527027027027027,0.7647058823529411,0.624
22,ourscocktail-diabetes-cv2-e128-s16-mistral-7b,153,1.0,0.6601307189542484,0.33986928104575165,0.7310317141710156,0.4725274725274725,0.9148936170212766,0.6231884057971014
