,file,dsize,valid,acc,error_rate,bacc,prec,recall,f1
0,tabllm-bank-cv0-e256-s16-mistral-7b,1000,0.953,0.8415529905561385,0.15844700944386148,0.590110708963168,0.25471698113207547,0.2727272727272727,0.2634146341463415
1,tabllm-bank-cv1-e256-s16-mistral-7b,1000,0.935,0.8310160427807487,0.1689839572192513,0.5605220780433159,0.2222222222222222,0.21359223300970873,0.21782178217821782
2,tabllm-bank-cv2-e256-s16-mistral-7b,1000,0.963,0.8276220145379024,0.1723779854620976,0.5511737643034093,0.18518518518518517,0.20408163265306123,0.1941747572815534
3,tabllm-bank-cv3-e256-s16-mistral-7b,1000,0.96,0.8135416666666667,0.18645833333333328,0.5382644128227168,0.18518518518518517,0.18018018018018017,0.182648401826484
4,tabllm-bank-cv4-e256-s16-mistral-7b,1000,0.969,0.8544891640866873,0.1455108359133127,0.5485321356728874,0.2982456140350877,0.1440677966101695,0.19428571428571428
5,tabllm-blood-cv0-e256-s16-mistral-7b,149,0.8993288590604027,0.4253731343283582,0.5746268656716418,0.5823717948717949,0.26262626262626265,0.8666666666666667,0.40310077519379844
6,tabllm-blood-cv1-e256-s16-mistral-7b,150,0.9133333333333333,0.5547445255474452,0.44525547445255476,0.6432748538011696,0.367816091954023,0.8421052631578947,0.512
7,tabllm-blood-cv2-e256-s16-mistral-7b,149,0.9261744966442953,0.4492753623188406,0.5507246376811594,0.5950226244343891,0.29411764705882354,0.8823529411764706,0.4411764705882353
8,tabllm-blood-cv3-e256-s16-mistral-7b,150,0.9066666666666666,0.47058823529411764,0.5294117647058824,0.559375,0.32978723404255317,0.775,0.4626865671641791
9,tabllm-blood-cv4-e256-s16-mistral-7b,150,0.9466666666666667,0.39436619718309857,0.6056338028169015,0.5794642857142858,0.24545454545454545,0.9,0.38571428571428573
10,tabllm-calhousing-cv0-e256-s16-mistral-7b,1000,0.95,0.611578947368421,0.388421052631579,0.6173385470005897,0.5614035087719298,0.9593147751605996,0.708300395256917
11,tabllm-calhousing-cv1-e256-s16-mistral-7b,1000,0.951,0.6067297581493165,0.3932702418506835,0.5987322447895924,0.5681265206812652,0.9609053497942387,0.7140672782874617
12,tabllm-calhousing-cv2-e256-s16-mistral-7b,1000,0.953,0.6065057712486883,0.3934942287513117,0.5891003613042287,0.5802781289506953,0.9143426294820717,0.7099767981438515
13,tabllm-calhousing-cv3-e256-s16-mistral-7b,1000,0.96,0.55625,0.44375,0.55625,0.530751708428246,0.9708333333333333,0.6863033873343152
14,tabllm-calhousing-cv4-e256-s16-mistral-7b,1000,0.957,0.6039707419017764,0.39602925809822365,0.5964619055109852,0.568069306930693,0.9386503067484663,0.707787201233616
15,tabllm-creditg-cv0-e256-s16-mistral-7b,200,0.89,0.6741573033707865,0.3258426966292135,0.49586776859504134,0.6779661016949152,0.9917355371900827,0.8053691275167785
16,tabllm-creditg-cv1-e256-s16-mistral-7b,200,0.935,0.6737967914438503,0.3262032085561497,0.5236815156169995,0.6740331491712708,0.9838709677419355,0.8
17,tabllm-creditg-cv2-e256-s16-mistral-7b,200,0.94,0.6914893617021277,0.3085106382978723,0.48872180451127817,0.7027027027027027,0.9774436090225563,0.8176100628930818
18,tabllm-creditg-cv3-e256-s16-mistral-7b,200,0.925,0.6864864864864865,0.31351351351351353,0.5009594298245614,0.6923076923076923,0.984375,0.8129032258064516
19,tabllm-creditg-cv4-e256-s16-mistral-7b,200,0.895,0.7374301675977654,0.26256983240223464,0.4852941176470588,0.7542857142857143,0.9705882352941176,0.8488745980707395
20,tabllm-diabetes-cv0-e256-s16-mistral-7b,153,0.8627450980392157,0.5606060606060606,0.43939393939393945,0.6344827586206897,0.42857142857142855,0.8666666666666667,0.5735294117647058
21,tabllm-diabetes-cv1-e256-s16-mistral-7b,154,0.8636363636363636,0.6090225563909775,0.39097744360902253,0.6822344322344323,0.44047619047619047,0.8809523809523809,0.5873015873015873
22,tabllm-diabetes-cv2-e256-s16-mistral-7b,153,0.8888888888888888,0.5220588235294118,0.4779411764705882,0.6372405372405372,0.4074074074074074,0.9777777777777777,0.5751633986928104
23,tabllm-diabetes-cv3-e256-s16-mistral-7b,154,0.8441558441558441,0.5230769230769231,0.4769230769230769,0.59,0.44,0.88,0.5866666666666667
24,tabllm-diabetes-cv4-e256-s16-mistral-7b,154,0.8571428571428572,0.5454545454545454,0.4545454545454546,0.5922077922077922,0.4752475247524752,0.8727272727272727,0.6153846153846154
25,tabllm-heart-cv0-e256-s16-mistral-7b,183,1.0,0.6775956284153005,0.3224043715846995,0.6331481481481481,0.6737588652482269,0.8796296296296297,0.7630522088353414
26,tabllm-heart-cv1-e256-s16-mistral-7b,184,0.9891304347826086,0.5989010989010989,0.4010989010989011,0.5415584415584416,0.6,0.9142857142857143,0.7245283018867924
27,tabllm-heart-cv2-e256-s16-mistral-7b,183,1.0,0.6010928961748634,0.3989071038251366,0.5643373493975903,0.5818181818181818,0.96,0.7245283018867924
28,tabllm-heart-cv3-e256-s16-mistral-7b,184,1.0,0.6195652173913043,0.3804347826086957,0.6127659574468085,0.58,0.925531914893617,0.7131147540983607
29,tabllm-heart-cv4-e256-s16-mistral-7b,184,1.0,0.6195652173913043,0.3804347826086957,0.5871428571428571,0.5925925925925926,0.96,0.732824427480916
30,tabllm-income-cv0-e256-s16-mistral-7b,1000,0.8,0.75,0.25,0.7613441583959732,0.4984025559105431,0.7839195979899497,0.609375
